,Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
113978,10074,35305,Female,Loyal Customer,59,Business travel,Eco,1035,4,2,2,2,1,5,4,4,4,4,4,1,4,5,0,0.0
67378,67378,74697,Female,Loyal Customer,19,Personal Travel,Eco,1171,3,5,3,3,4,3,3,4,3,5,5,5,4,4,40,10.0
104291,387,60943,Male,Loyal Customer,13,Business travel,Business,1529,5,5,3,5,4,4,4,4,4,4,5,3,5,4,0,0.0
28936,28936,116858,Female,disloyal Customer,37,Business travel,Business,370,2,2,2,1,5,2,5,5,4,4,5,3,4,5,111,102.0
57365,57365,46944,Male,Loyal Customer,23,Personal Travel,Eco,666,2,5,2,1,3,2,1,3,1,5,3,4,4,3,0,0.0
125529,21625,87979,Female,Loyal Customer,58,Business travel,Business,250,0,1,1,3,4,4,4,1,1,1,1,4,1,3,13,3.0
108942,5038,42666,Female,Loyal Customer,38,Business travel,Business,1705,4,4,2,4,1,4,1,5,5,5,5,1,5,4,0,0.0
126296,22392,6744,Male,Loyal Customer,48,Business travel,Business,2793,0,4,1,4,5,5,5,2,2,2,2,4,2,4,6,6.0
3949,3949,111232,Male,Loyal Customer,10,Personal Travel,Eco,1546,2,5,2,2,1,2,1,1,3,5,3,4,4,1,19,28.0
7070,7070,112732,Female,Loyal Customer,37,Personal Travel,Eco,605,2,3,2,3,3,2,3,3,2,2,4,4,4,3,11,11.0
60707,60707,42043,Male,Loyal Customer,62,Business travel,Business,2542,1,5,1,5,2,3,3,3,3,3,1,3,3,4,0,0.0
85078,85078,75305,Male,Loyal Customer,33,Business travel,Business,2504,4,4,4,4,4,4,4,4,4,5,5,4,4,4,0,8.0
35985,35985,64679,Male,Loyal Customer,42,Business travel,Business,1976,5,5,2,5,5,4,4,4,4,4,4,5,4,3,0,0.0
60057,60057,28054,Female,Loyal Customer,47,Business travel,Business,2193,3,4,4,4,3,3,3,1,2,3,3,3,3,3,0,9.0
118090,14186,5663,Female,Loyal Customer,60,Business travel,Business,3875,2,2,2,2,5,5,5,5,5,5,5,4,5,4,30,94.0
